NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW
NS12216N,-99,43,-99,-99,-99,-99,1,2,1,8,1,1,1,1,0,1,0,0,2,0,2,2,1,5,2,2,2,-99,0,2,2,1,2,2,2,9,4,4,2,12,-1,6,1,1,1,2,4,5,381.29
NS15172L,23850,35,1,1,2,1,1,2,1,20,1,1,1,0,0,2,0,0,2,0,2,1,1,5,2,2,2,3,1,2,1,1,2,2,2,9,4,4,2,14,0,1,1,1,1,2,2,2,381.52
NS23189G,16354,39,1,1,2,0,1,2,1,9,1,1,1,0,0,1,0,0,2,0,2,1,2,4,2,1,2,3,0,2,1,1,1,-91,-91,1,4,4,2,12,0,0,1,1,1,2,7,2,381.52
NS18824S,14976,40,1,1,2,0,1,1,1,16,1,1,1,0,0,1,0,0,2,0,2,3,2,5,2,2,2,3,0,2,1,2,1,-91,-91,1,4,4,2,10,1,0,1,1,1,1,2,1,381.52
NS11706J,2808,40,2,1,2,0,1,2,1,4,1,2,1,0,0,1,0,0,2,0,6,1,1,3,2,1,1,3,1,2,2,2,1,-91,-91,1,4,4,2,12,1,1,1,1,1,2,5,2,381.76
NS15017X,-92,34,1,1,1,0,1,7,1,1,1,1,1,0,0,1,0,0,2,0,1,1,1,4,2,1,1,3,0,2,1,2,2,1,2,3,4,1,2,15,1,1,1,1,1,1,4,1,381.76
NS12551S,-999,32,4,1,2,0,1,8,1,-99,1,2,1,0,0,1,0,0,2,0,-99,1,3,4,2,1,2,3,0,2,2,1,2,1,2,3,4,1,2,10,0,1,1,1,1,1,7,2,382
NS13551N,-91,41,10,1,2,0,1,4,2,-98,-98,3,-98,0,0,2,0,0,1,1,2,2,2,5,2,1,1,1,1,2,2,2,2,2,2,9,4,4,2,7,0,0,1,1,1,2,4,1,382.22
NS15899Y,4680,46,2,1,2,0,1,5,1,20,1,2,1,0,0,1,0,0,2,0,7,1,1,4,2,2,2,3,0,2,2,1,2,2,2,9,4,4,2,6,-1,1,1,1,1,2,7,3,382.45
NS22245F,-92,43,9,1,1,-99,1,2,1,2,3,3,8,0,1,2,0,0,2,0,7,4,1,2,2,2,1,-99,1,2,2,2,1,-91,-91,1,4,4,2,15,-1,0,2,1,1,1,5,1,382.69
NS15039N,27000,34,1,1,2,0,1,2,1,13,1,1,1,0,0,2,0,0,2,0,2,1,1,2,2,1,2,3,6,2,3,1,1,-91,-91,1,4,4,2,13,1,1,1,1,1,2,2,2,383
