NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW
NS25668T,60144,40,1,1,2,0,1,2,1,2,1,2,1,0,0,1,1,0,2,0,-94,1,1,4,2,1,1,3,3,2,2,2,1,-91,-91,1,4,4,2,11,1,0,1,1,1,2,4,2,-8
NS19554Q,21600,16,2,1,2,1,1,1,1,4,1,2,1,0,0,2,0,0,2,0,2,1,4,5,1,1,1,1,1,2,1,1,1,-91,-91,1,4,4,2,15,-1,2,1,1,1,2,1,1,-8
NS13019H,15392,33,1,1,2,0,1,2,1,-98,-98,1,-98,0,0,1,0,0,5,1,3,4,2,2,-1,2,1,3,0,1,2,2,2,1,2,4,4,2,2,12,0,0,1,1,1,1,4,2,-8
NS16002S,9500,39,2,1,2,0,1,2,1,2,1,2,1,0,0,1,1,0,2,0,1,1,1,5,2,1,2,3,10,2,4,1,1,-91,-91,1,4,4,2,16,1,3,1,5,2,2,5,3,-8
NS22134H,6406.4,36,2,1,2,1,1,2,1,4,1,2,1,0,1,2,1,0,2,0,2,4,2,5,2,2,1,3,1,2,1,2,2,1,2,9,4,4,2,11,-1,1,1,1,1,1,7,3,-8
NS17072A,5460,35,2,1,2,1,1,2,1,4,1,2,1,0,1,1,0,0,2,0,1,1,-1,3,2,2,2,3,0,2,2,1,2,1,1,9,4,4,2,12,-1,2,1,1,1,2,7,2,-8
NS19797B,3827.2,30,2,1,1,0,1,5,2,-98,-98,2,-98,0,0,1,0,0,1,1,5,1,3,-91,2,2,2,3,0,2,1,1,2,1,2,9,4,4,2,7,-1,2,1,1,1,1,4,2,-8
NS12480Y,-1,28,2,1,2,1,1,2,1,7,1,2,1,0,1,1,0,0,2,0,1,1,2,4,2,2,1,3,0,2,1,1,2,2,2,9,4,4,2,14,1,0,1,1,1,1,7,1,-8
NS12537K,-91,43,12,1,1,1,1,2,1,13,1,3,1,0,0,2,0,0,2,0,5,1,1,4,2,1,1,3,1,2,2,1,2,2,2,3,4,1,2,17,-1,5,1,1,1,1,7,3,-8
NS21367D,-91,23,10,1,2,2,1,2,1,14,1,3,1,1,1,1,0,0,2,0,7,1,1,-91,1,1,1,3,5,2,4,1,2,2,2,9,4,4,2,12,-1,5,1,1,1,1,4,3,-8
NS23644J,-91,39,10,1,2,1,1,4,2,-98,-98,3,-98,0,1,1,0,0,5,1,4,1,3,-91,2,2,2,3,0,2,2,2,2,1,2,9,4,4,2,12,-1,2,1,1,1,1,4,3,-8
NS21555L,-92,31,1,1,2,0,1,1,1,20,1,2,1,0,0,1,1,0,2,0,-99,3,1,1,2,2,2,3,0,2,2,2,1,-91,-91,1,4,4,2,9,1,1,1,1,1,2,7,1,-8
NS15579C,252000,32,2,1,2,0,1,2,1,13,1,2,1,0,0,2,0,0,2,0,2,1,2,3,2,1,2,3,1,2,3,1,2,2,1,9,4,4,2,10,0,0,1,2,1,1,2,2,-1
NS10190V,200000,-99,3,1,2,-99,1,2,1,9,1,3,1,0,0,1,0,0,2,0,4,4,-99,-99,-99,-99,-99,-99,0,2,1,1,2,2,2,9,4,4,2,10,0,0,1,1,1,1,5,3,-1
NS16293Z,100000,36,3,1,2,0,1,2,1,3,1,1,1,0,0,2,0,1,2,0,2,1,1,5,2,2,2,3,4,2,2,2,1,-91,-91,1,4,4,2,12,1,-1,1,1,1,2,4,2,-1
NS16617F,85000,41,1,1,2,1,1,2,1,2,1,1,1,0,1,1,0,0,2,0,2,1,1,3,2,2,2,3,11,2,3,2,1,-91,-91,1,4,4,2,6,1,2,2,5,2,2,2,1,-1
NS16164P,75000,42,1,1,1,2,1,2,1,8,1,1,1,0,1,2,0,0,3,0,1,1,1,3,2,1,2,3,2,2,1,1,2,1,2,9,4,4,2,10,-1,1,1,2,1,1,2,3,-1
NS18566R,72820.8,28,3,1,2,2,1,2,1,1,1,3,1,0,2,1,1,0,2,0,3,1,2,5,2,1,2,3,11,-1,4,1,2,2,2,9,4,4,2,14,-1,0,2,3,1,2,4,1,-1
NS21186M,72000,41,1,1,2,2,1,2,1,2,1,3,1,0,2,1,1,1,2,0,2,8,1,4,2,2,2,3,6,1,4,2,2,2,2,9,4,4,2,10,1,2,2,2,1,1,5,1,-1
NS25615S,66205,35,1,1,1,1,1,2,1,1,1,-99,1,0,0,2,0,0,2,0,1,1,1,2,-92,1,2,3,0,2,1,2,1,-91,-91,1,4,4,2,13,-1,1,1,4,2,1,4,2,-1
NS21765K,65000,47,1,1,2,0,1,1,1,1,1,1,1,0,0,1,0,0,2,0,2,5,1,5,2,2,2,3,0,-1,1,1,1,-91,-91,1,4,4,2,10,1,0,1,5,2,2,1,1,-1
NS17551W,63600,21,1,1,2,0,1,2,1,1,1,1,1,0,0,1,0,0,2,0,1,1,1,0,1,-1,1,3,7,2,4,2,2,1,2,7,4,4,2,11,-1,9,1,2,1,2,1,4,-1
NS25433A,60000,29,3,1,2,9,1,2,1,2,1,1,1,0,0,1,0,0,2,0,1,1,1,4,2,1,2,3,0,2,1,1,1,-91,-91,1,4,4,2,16,1,0,1,2,1,1,4,1,-1
NS17838W,56160,35,1,1,2,2,1,-1,1,2,1,1,1,1,1,1,0,0,2,0,1,3,1,2,2,2,1,2,5,2,4,2,2,1,2,3,4,1,2,21,1,1,1,4,2,1,5,1,-1
NS25642Y,55347.76,30,1,1,2,0,1,2,1,20,2,1,2,0,0,1,0,0,2,0,2,6,2,3,1,1,2,3,5,1,3,2,2,1,2,9,4,4,2,12,0,10,1,4,2,1,5,4,-1
NS24604B,55000,23,3,1,2,1,1,2,1,2,1,1,1,0,0,2,0,0,2,0,4,1,1,3,-1,2,-1,3,0,2,1,2,1,-91,-91,1,4,4,2,11,1,0,1,2,1,1,7,2,-1
NS15036K,54624,33,1,1,2,0,1,1,1,1,1,1,1,0,0,1,1,1,2,0,1,1,1,5,2,1,2,3,8,2,3,2,1,-91,-91,1,4,4,2,14,1,0,1,2,1,2,4,2,-1
NS22005Y,54618.2,38,1,1,1,0,1,2,1,-98,-98,1,-98,0,0,1,0,0,1,1,1,2,1,4,2,1,1,2,1,2,2,1,2,2,2,9,4,4,2,15,-1,9,1,4,2,1,5,4,-1
NS19806B,52692,21,1,1,1,0,1,2,1,2,1,1,1,0,0,1,0,1,2,0,2,1,2,2,1,1,1,2,3,2,3,1,1,-91,-91,1,4,4,2,12,1,7,1,5,2,2,3,2,-1
NS21848B,50000,35,4,1,2,0,1,2,1,1,1,2,1,0,0,1,1,1,2,0,1,1,1,5,2,1,2,3,0,2,1,2,2,2,2,9,4,4,2,13,1,2,1,2,1,1,4,3,-1
NS24475K,50000,39,4,1,2,2,1,2,1,9,1,2,1,0,1,3,1,0,2,0,4,1,3,4,2,1,1,3,0,2,1,1,1,-91,-91,9,4,4,2,14,1,0,1,1,1,1,2,3,-1
NS24921T,48500,41,1,1,2,1,1,2,1,5,1,1,1,0,0,2,0,0,2,0,-94,1,1,3,2,1,2,3,0,2,2,2,1,-91,-91,1,4,4,2,12,1,4,2,2,1,2,2,1,-1
NS23391X,48000,35,1,1,2,2,1,2,1,2,1,1,1,0,1,2,0,0,2,0,2,7,1,5,2,2,2,2,0,1,1,2,1,-91,-91,1,4,4,2,18,1,0,1,1,1,1,7,2,-1
NS21384P,48000,27,1,1,2,0,1,2,1,15,1,1,1,0,0,1,1,1,2,0,1,8,1,3,2,1,2,3,3,2,1,1,2,2,2,4,4,2,2,20,1,4,1,4,2,1,7,3,-1
NS25107P,46000,40,1,1,2,1,1,2,1,4,1,3,1,0,1,1,0,0,2,0,2,1,2,4,2,2,-1,3,0,2,2,2,2,2,2,3,4,1,2,15,1,2,1,2,1,1,7,4,-1
NS21580P,45600,44,1,1,2,1,1,2,1,4,1,2,1,0,0,2,0,0,2,0,1,1,1,1,2,2,2,3,0,2,2,2,1,-91,-91,1,4,4,2,17,1,1,1,5,2,1,5,2,-1
NS24739S,45000,38,1,1,1,0,1,2,1,9,1,1,1,0,0,1,1,0,2,0,5,1,1,3,2,1,2,3,3,2,3,2,1,-91,-91,1,4,4,2,12,0,0,1,2,1,2,2,1,-1
NS16628B,44000,34,1,1,1,0,1,2,1,7,1,3,1,0,0,1,0,0,2,0,1,1,3,4,2,2,1,3,0,2,1,2,2,1,2,9,4,4,-94,11,1,3,1,4,2,2,5,4,-1
NS16166R,42000,45,1,1,1,3,1,2,1,4,1,3,1,0,3,1,0,0,2,0,2,1,3,4,2,2,2,3,0,2,1,1,2,2,2,9,4,4,2,9,1,1,1,5,2,1,7,1,-1
NS10559K,42000,35,1,1,2,0,1,2,1,-98,-98,1,-98,0,0,1,1,1,5,1,2,1,2,5,2,1,2,3,1,2,2,1,2,1,2,1,4,4,2,16,1,0,1,2,1,2,4,2,-1
NS23163L,40000,40,1,1,1,0,1,2,1,2,1,1,1,0,0,1,1,1,2,0,1,1,1,5,1,1,1,3,7,2,4,1,2,2,2,9,4,4,2,13,1,1,1,5,2,2,5,2,-1
NS17309C,39228,44,1,1,2,1,1,2,1,2,1,2,1,0,1,1,1,0,2,0,2,1,1,3,2,2,2,2,4,2,3,1,2,2,2,9,4,4,2,15,-1,-1,1,1,1,2,4,-1,-1
NS18215L,39000,40,1,1,2,1,1,2,1,1,1,1,1,0,0,2,0,0,2,0,2,1,2,0,2,2,2,3,0,2,2,2,1,-91,-91,1,4,4,2,15,1,1,1,4,2,2,5,2,-1
NS12285Z,38480,33,1,1,2,1,1,2,1,-98,-98,1,-98,0,0,2,0,0,5,1,2,1,1,3,2,1,1,3,0,1,1,1,2,2,2,9,4,4,2,9,0,1,1,5,2,2,4,2,-1
NS21026S,38400,19,1,1,2,1,1,2,1,20,1,1,1,0,1,1,0,0,2,0,1,1,3,3,2,2,1,1,1,2,2,2,1,-91,-91,9,4,4,2,11,0,0,1,2,1,1,7,4,-1
NS20959D,37440,48,1,1,1,0,1,2,1,2,1,1,1,0,0,2,0,0,2,0,2,1,2,5,2,2,2,1,0,2,1,2,1,-91,-91,2,4,4,2,11,-1,-1,1,1,1,2,-9,-1,-1
NS12201N,37200,41,1,1,2,1,1,2,1,2,1,1,1,0,1,1,0,0,2,0,4,1,1,3,2,1,1,3,2,2,3,1,1,-91,-91,1,4,4,2,14,0,12,1,2,1,2,5,3,-1
NS15690J,36400,39,1,1,2,2,1,2,1,2,1,1,1,0,1,2,0,0,2,0,2,1,1,5,2,1,2,3,0,2,1,2,1,-91,-91,1,4,4,2,11,-1,0,1,2,1,1,4,1,-1
NS17886R,36000,36,1,1,2,3,1,2,1,2,1,3,1,0,2,2,0,0,2,0,1,8,1,5,2,2,1,3,3,1,2,1,1,-91,-91,1,4,4,2,19,1,0,2,4,2,2,7,1,-1
NS23605G,36000,33,1,1,2,2,1,2,1,2,1,1,1,0,1,2,1,0,2,0,2,2,3,4,2,2,1,3,1,2,2,2,1,-91,-91,1,4,4,2,13,1,10,1,3,1,1,5,2,-1
NS23867F,35000,42,4,1,2,0,1,1,1,1,1,2,1,0,0,1,1,1,2,0,2,1,1,5,2,2,2,3,0,2,1,1,2,2,2,9,4,4,2,10,-1,-1,1,7,2,2,5,-1,-1
NS19294M,35000,44,1,1,2,1,1,2,1,-98,-98,1,-98,0,1,1,0,0,5,1,2,1,1,3,2,1,2,3,1,2,1,2,1,-91,-91,1,4,4,2,15,1,0,1,2,1,1,4,1,-1
NS22200X,35000,30,1,1,2,1,1,2,1,1,1,1,1,0,1,1,0,0,2,0,2,1,1,3,2,2,1,3,4,2,3,2,2,1,2,3,4,1,2,14,1,1,1,1,1,2,4,2,-1
NS14010T,35000,38,1,1,2,0,1,2,1,-98,-98,1,-98,0,0,1,0,0,1,1,1,1,1,4,2,2,1,3,1,2,2,2,1,-91,-91,1,4,4,2,12,1,9,1,4,2,2,7,3,-1
NS22055W,34000,29,1,1,2,-99,1,2,1,1,1,2,1,0,0,2,0,0,2,0,2,5,1,1,-92,2,2,-99,4,2,3,2,1,-91,-91,1,4,4,2,12,1,0,1,5,2,2,5,1,-1
NS18981J,33000,33,1,1,2,1,1,2,1,15,1,1,1,0,1,1,0,0,2,0,1,1,3,4,2,2,2,2,0,2,2,2,2,1,2,9,4,4,2,14,0,0,1,1,1,2,5,2,-1
NS18986P,32727.24,25,1,1,2,-99,1,2,1,4,1,1,1,0,0,1,0,0,2,0,1,1,1,3,1,1,1,-99,0,2,1,1,2,1,2,3,4,1,2,18,1,1,1,5,2,1,4,1,-1
NS22940Q,32600,33,1,1,2,0,1,2,1,7,1,2,1,0,0,1,1,0,2,0,2,1,2,1,2,-1,2,3,0,2,1,2,2,1,2,3,4,1,2,18,1,0,1,5,2,1,4,3,-1
NS14441M,32400,42,1,1,2,0,1,2,1,-98,-98,1,-98,0,0,1,0,0,5,1,1,2,1,5,2,1,1,3,1,2,2,2,2,2,2,9,4,4,2,14,1,0,1,2,1,2,4,2,-1
NS12634J,32148,30,1,1,2,0,1,2,1,-99,1,1,1,0,0,1,0,0,2,0,1,1,1,5,2,1,1,3,6,2,3,1,1,-91,-91,1,4,4,2,12,1,0,1,5,2,2,4,2,-1
NS22039L,32076,25,1,1,2,1,1,2,1,15,1,1,1,0,1,1,0,0,2,0,1,1,2,3,2,1,1,3,2,2,3,1,1,-91,-91,1,4,4,2,13,0,1,1,2,1,1,5,2,-1
NS17587L,32016,26,1,1,2,1,1,2,1,-98,-98,1,-98,0,1,1,0,0,5,1,2,1,2,3,2,2,1,1,0,2,2,2,2,2,2,9,4,4,2,16,0,1,1,2,1,1,4,4,-1
NS10160L,32000,43,1,1,2,3,1,4,2,9,3,1,3,1,2,1,0,0,2,0,2,7,1,4,2,2,2,3,1,1,1,1,1,-91,-91,1,4,4,2,10,-1,1,1,2,1,1,1,2,-1
NS19439E,32000,35,1,1,2,3,1,2,2,2,1,1,1,0,2,2,0,0,2,0,2,8,-1,5,2,2,2,3,3,2,3,2,1,-91,-91,1,4,4,2,16,-1,0,1,1,1,2,7,3,-1
NS24795F,32000,35,1,1,2,0,1,3,1,15,1,1,1,0,0,1,0,0,3,0,3,1,3,3,2,1,1,3,0,2,2,1,2,2,2,9,4,4,-94,10,0,0,1,2,1,1,5,1,-1
NS12019M,31920,36,1,1,1,0,1,2,1,1,1,2,1,0,0,1,0,0,2,0,1,1,1,3,2,2,2,1,1,1,2,2,1,-91,-91,1,4,4,2,11,1,0,1,5,2,1,4,2,-1
NS25872L,31616,40,1,1,2,0,1,2,1,15,1,1,1,0,0,1,1,0,2,0,2,1,3,2,2,2,-1,3,0,1,1,1,2,2,2,9,4,4,2,16,1,2,1,5,2,2,4,2,-1
NS22437S,31200,48,1,1,2,1,1,2,1,-98,-98,1,-98,0,1,1,0,0,5,1,1,3,1,2,2,2,2,3,0,2,1,2,1,-91,-91,1,4,4,2,15,1,9,1,4,2,1,5,1,-1
NS15981X,31000,42,1,1,2,1,1,1,1,13,1,1,1,0,1,1,0,0,3,0,4,2,1,5,2,1,2,3,0,-1,1,1,2,2,2,4,4,2,2,17,1,1,1,4,2,2,5,3,-1
NS14784A,30420,33,1,1,2,1,1,2,1,2,1,1,1,0,0,2,0,0,2,0,2,2,1,2,2,1,1,3,6,2,3,2,1,-91,-91,1,4,4,2,16,1,7,1,4,2,2,7,2,-1
NS23987X,30030,38,2,1,2,0,1,2,1,2,1,2,1,0,0,1,0,0,2,0,2,1,1,4,2,2,1,2,1,2,2,1,1,-91,-91,1,4,4,2,10,1,0,1,5,2,2,5,1,-1
NS13131Q,30000,40,4,1,2,0,1,2,1,2,1,2,1,0,0,1,1,0,2,0,4,1,1,4,2,1,2,3,0,2,1,1,2,2,2,9,4,4,2,11,-1,0,1,2,1,1,2,1,-1
NS18694A,30000,31,3,1,2,0,1,2,1,2,1,1,1,0,0,1,1,0,2,0,2,1,2,2,1,1,2,3,0,2,2,2,2,1,2,9,4,4,2,10,-1,1,1,2,1,1,5,1,-1
NS20838L,30000,34,1,1,2,0,1,2,1,2,1,1,1,0,0,1,1,0,2,0,1,1,2,4,2,2,2,3,-99,-99,-99,2,1,-91,-91,1,4,4,2,16,-1,4,1,5,2,2,5,1,-1
NS13487B,30000,33,1,1,2,0,1,2,1,4,1,1,1,0,0,1,0,0,2,0,1,1,2,3,2,2,2,3,0,2,1,2,2,1,2,3,4,1,2,9,-1,2,1,1,1,1,5,3,-1
NS11470H,30000,29,1,1,2,2,1,2,1,17,1,1,1,0,1,2,0,0,2,0,1,1,3,0,2,1,2,3,1,2,1,1,2,2,2,9,4,4,2,14,0,1,1,2,1,1,4,2,-1
NS17308B,30000,43,1,1,2,-99,1,2,1,8,1,3,1,0,0,1,1,0,2,0,5,1,2,2,2,1,1,-99,2,2,1,1,2,2,2,9,4,4,2,13,0,1,1,2,1,1,4,2,-1
NS17747M,30000,28,1,1,2,0,1,2,1,-99,1,1,1,0,0,1,0,0,2,0,2,1,1,4,2,-1,1,3,9,2,3,1,2,2,2,1,4,4,2,13,0,0,1,3,1,2,5,3,-1
NS16184D,30000,30,1,1,2,0,1,2,1,7,1,1,1,0,0,1,1,0,2,0,1,1,4,-91,2,1,2,3,1,2,2,1,2,2,1,9,4,4,2,8,0,5,1,4,2,1,4,4,-1
NS10867J,30000,36,1,1,2,0,1,2,1,2,1,1,1,0,0,1,1,0,2,0,1,1,1,3,2,1,2,3,1,2,2,2,1,-91,-91,1,4,4,2,17,1,2,1,10,2,1,4,1,-1
NS25085R,30000,41,1,1,2,0,1,6,1,1,1,1,1,0,0,1,0,0,2,0,1,8,1,5,2,2,2,3,0,2,1,2,1,-91,-91,1,4,4,2,5,1,3,1,4,2,1,5,1,-1
NS11690B,30000,38,1,1,2,1,1,2,1,8,1,1,1,0,1,1,0,0,2,0,4,2,1,5,2,2,2,3,4,2,2,2,1,-91,-91,1,4,4,2,12,1,0,1,5,2,2,4,2,-1
NS17125H,30000,30,1,1,2,0,1,1,1,2,1,1,1,0,0,2,1,0,2,0,2,1,2,3,-1,1,2,3,0,2,1,2,1,-91,-91,1,4,4,2,14,1,4,1,2,1,2,1,3,-1
NS16326S,29900,34,2,1,2,1,1,2,1,8,1,2,1,0,1,1,0,0,2,0,2,6,2,5,2,-1,2,3,8,2,2,2,1,-91,-91,1,4,4,2,19,1,0,1,1,1,2,7,2,-1
NS20442Q,29724,41,1,1,2,1,1,2,1,3,1,1,1,0,0,2,0,0,2,0,2,3,1,3,2,2,2,3,0,2,2,2,1,-91,-91,1,4,4,2,12,1,1,1,2,1,2,5,1,-1
NS26014Z,29120,33,2,1,1,0,1,2,1,2,1,2,1,0,0,1,1,0,2,0,1,1,1,5,2,2,1,3,0,2,2,2,2,2,2,9,4,4,2,15,1,0,1,4,2,1,4,2,-1
NS14933F,29000,34,3,1,2,0,1,2,1,1,1,-98,1,0,0,1,1,0,-98,1,4,3,2,5,2,2,2,3,0,2,1,2,1,-91,-91,1,4,4,2,17,-1,-1,1,2,1,1,4,-1,-1
NS21072L,29000,33,1,1,2,0,1,2,1,13,1,1,1,0,0,1,1,0,2,0,-94,1,1,5,2,1,2,2,2,2,1,2,2,2,2,9,4,4,2,14,-1,3,1,2,1,1,5,1,-1
NS13900Y,28879.24,41,1,1,2,0,1,2,1,-99,1,1,1,0,0,1,0,0,2,0,3,6,2,5,2,1,2,3,0,2,1,2,2,2,2,9,4,4,2,14,-1,2,1,5,2,1,2,2,-1
NS10623X,28860,37,1,1,2,1,1,2,1,20,1,1,1,1,0,1,0,0,3,0,2,2,1,3,2,1,2,2,0,2,1,1,2,1,2,9,4,4,2,12,-1,-1,1,1,1,2,5,-1,-1
NS11176H,28860,41,1,1,2,0,1,2,1,-98,-98,1,-98,0,0,2,0,0,4,1,2,1,2,3,2,2,1,3,0,2,1,2,1,-91,-91,1,4,4,2,15,-1,-1,1,1,1,1,4,-1,-1
NS18816A,28860,29,1,1,2,1,1,2,1,4,1,2,1,0,1,1,0,0,2,0,2,1,2,2,2,1,2,3,0,2,2,1,2,1,2,3,4,1,2,15,-1,4,1,4,2,2,7,2,-1
NS21396L,28860,38,1,1,1,2,1,2,1,2,1,2,1,0,2,1,0,0,2,0,2,3,2,3,2,2,2,3,4,2,3,2,1,-91,-91,1,4,4,2,13,1,7,1,2,1,2,1,2,-1
NS18476J,28800,43,1,1,1,1,1,2,1,4,1,2,1,0,1,1,0,0,2,0,2,1,1,5,2,2,2,3,1,2,2,1,2,2,1,3,4,1,2,12,-1,0,1,5,2,1,4,2,-1
NS15938G,28800,25,1,1,2,0,1,2,1,-98,-98,1,-98,0,0,1,1,0,4,1,1,1,2,2,2,1,1,3,5,2,2,1,2,2,2,9,4,4,2,10,0,0,1,9,2,2,4,4,-1
NS17459C,28000,41,1,1,2,2,1,2,1,14,1,1,1,0,2,2,0,0,2,0,5,1,1,4,2,-1,-1,3,3,-1,-1,1,2,1,2,9,4,4,2,11,-1,1,2,10,2,2,2,1,-1
NS21327A,28000,19,1,1,1,0,1,4,1,-98,-98,1,-98,0,0,1,1,0,1,1,2,6,1,1,2,1,2,2,0,2,1,1,2,2,2,9,4,4,2,8,-1,1,1,1,1,2,4,3,-1
NS25641X,28000,38,1,1,2,0,1,2,1,1,1,3,1,0,0,1,0,0,2,0,2,1,4,-91,2,2,1,1,0,2,1,2,2,1,2,9,4,4,2,12,0,1,1,8,2,1,5,2,-1
NS23847R,28000,36,3,1,2,1,1,2,1,2,1,1,1,0,0,2,0,0,2,0,1,1,2,2,2,2,2,3,0,2,1,2,2,1,2,3,4,1,2,13,1,4,1,4,2,1,5,2,-1
NS15836C,27804,33,1,1,1,2,1,2,1,2,1,2,1,0,1,3,0,0,2,0,2,1,2,2,2,1,2,3,1,2,3,1,2,2,2,1,4,4,2,18,-1,1,2,2,1,1,4,2,-1
NS22060K,27600,39,1,1,1,0,1,2,1,2,1,1,1,0,0,1,0,0,2,0,1,1,1,4,2,2,1,3,0,2,2,2,1,-91,-91,1,4,4,2,13,1,0,1,5,2,2,2,2,-1
NS11062G,27500,27,1,1,2,1,1,2,1,9,1,1,1,0,0,2,0,0,2,0,6,1,2,3,2,2,1,2,2,2,1,1,1,-91,-91,1,4,4,2,16,0,2,2,1,1,2,4,1,-1
NS20546X,27331.2,38,1,1,1,0,1,1,1,5,1,2,1,0,1,1,1,0,2,0,3,1,4,1,2,1,1,3,0,2,1,1,2,1,2,9,4,4,1,12,1,-1,2,9,2,2,2,2,-1
NS13803Z,27300,42,1,1,1,1,1,6,1,8,1,1,1,0,1,1,0,0,2,0,1,7,1,3,2,2,1,3,4,1,3,1,1,-91,-91,1,4,4,2,13,1,0,1,1,1,2,5,2,-1
NS11848R,27000,35,1,1,2,0,1,2,1,9,1,1,1,0,0,1,0,0,2,0,2,1,3,3,2,2,2,3,11,2,4,2,2,2,2,9,4,4,2,8,-1,3,1,4,2,2,4,1,-1
NS16669F,27000,21,1,1,2,2,1,8,1,2,1,3,1,0,2,1,1,0,2,0,6,4,4,1,2,2,2,3,0,2,2,2,2,1,2,3,4,1,2,12,-1,0,1,5,2,1,7,1,-1
NS24264K,27000,28,1,1,2,0,1,2,1,4,1,1,1,0,0,1,0,0,2,0,2,1,3,1,2,1,2,2,0,1,1,1,2,2,2,9,4,4,2,14,0,4,1,1,1,1,4,2,-1
NS11701D,27000,34,1,1,2,0,1,2,1,4,1,2,1,0,0,1,1,0,2,0,1,1,3,2,2,-1,1,3,0,2,2,1,1,-91,-91,1,4,4,2,14,1,0,1,1,1,2,2,3,-1
NS13091F,26880,42,1,1,2,0,1,2,1,7,1,1,1,0,0,1,0,1,2,0,2,1,1,3,2,2,1,3,0,2,2,2,1,-91,-91,1,4,4,2,14,1,0,1,5,2,1,5,2,-1
NS24303T,26760,29,1,1,2,0,1,2,1,2,1,1,1,0,0,2,0,0,2,0,1,6,-1,1,-1,2,1,3,1,2,2,2,2,1,2,9,4,4,2,12,-1,2,1,1,1,1,7,1,-1
NS19608Z,26544,37,1,1,1,0,1,2,1,-98,-98,1,-98,0,0,1,0,0,5,1,2,1,1,5,2,2,2,3,3,2,3,2,2,1,2,9,4,4,2,11,1,0,1,1,1,2,4,1,-1
NS10702J,26400,-96,1,1,1,1,1,1,1,4,1,3,1,0,0,3,0,0,2,0,1,1,4,-91,-96,-96,-96,1,1,2,-1,2,2,1,2,9,4,4,2,9,0,6,1,3,1,2,4,2,-1
NS20948H,26400,39,1,1,2,2,1,2,1,2,1,2,1,0,2,1,0,0,1,0,2,1,2,2,2,2,1,3,3,2,3,2,1,-91,-91,9,4,4,2,11,0,1,1,5,2,1,5,2,-1
NS18060Z,26400,34,1,1,2,1,1,1,1,4,1,2,1,0,0,2,0,0,2,0,1,3,1,5,2,2,2,3,3,-1,3,2,1,-91,-91,1,4,4,2,17,1,3,1,2,1,1,5,1,-1
NS17373H,26400,39,1,1,2,1,1,1,1,7,1,1,1,0,0,2,0,0,2,0,2,1,1,4,2,2,1,3,2,1,2,2,1,-91,-91,1,4,4,2,16,1,4,1,5,2,2,4,2,-1
NS14080F,26400,40,1,1,2,-995,1,2,1,15,1,1,1,0,0,1,0,0,3,0,2,6,2,4,2,1,2,-94,3,1,3,1,2,1,2,3,4,1,2,13,1,0,1,1,1,2,4,3,-1
NS10967L,26000,40,1,1,2,0,1,2,1,15,1,1,1,0,0,1,0,0,2,0,1,1,1,3,2,1,2,3,1,2,1,1,2,1,1,9,4,4,2,15,-1,1,1,2,1,1,2,1,-1
NS23699M,26000,24,2,1,1,2,1,1,1,-98,-98,2,-98,0,2,1,0,0,5,1,3,2,3,3,-92,1,1,3,1,2,2,2,2,1,1,9,4,4,2,11,-1,5,1,2,1,1,2,1,-1
NS13549C,26000,31,1,1,2,0,1,2,1,9,3,1,8,0,0,1,1,0,2,0,2,1,1,2,2,1,2,3,0,2,2,2,1,-91,-91,1,4,4,2,17,1,3,1,5,2,1,4,1,-1
NS10645N,26000,38,1,1,2,1,1,2,1,16,1,1,1,0,1,1,0,0,2,0,1,1,2,3,2,1,1,3,1,2,1,1,2,2,2,9,4,4,2,11,1,0,2,5,2,2,2,2,-1
NS16532M,26000,33,1,1,2,2,1,1,1,4,1,3,1,0,2,1,0,0,2,0,2,4,1,5,2,2,2,3,0,2,1,2,2,1,2,3,4,1,2,13,1,-1,1,4,2,1,5,2,-1
NS22068T,26000,30,1,1,2,0,1,6,1,-98,-98,1,-98,0,0,1,0,0,1,1,2,7,1,2,2,2,2,3,10,1,4,1,2,2,2,3,4,1,2,14,1,3,1,2,1,2,7,2,-1
NS15206F,26000,30,3,1,2,2,1,2,1,4,1,2,1,0,2,1,0,0,3,0,2,2,2,3,2,2,1,1,3,-92,3,1,2,1,2,9,4,4,2,10,1,0,1,2,1,1,4,3,-1
NS16000Q,25980,33,2,1,2,0,1,2,1,2,1,2,1,0,0,1,0,0,2,0,1,7,1,4,2,1,2,3,0,2,2,2,1,-91,-91,1,4,4,2,16,0,0,1,1,1,1,5,1,-1
NS21163V,25740,34,2,1,2,1,1,2,1,19,1,2,1,0,0,2,0,0,2,0,1,4,1,5,2,2,2,3,7,2,3,2,1,-91,-91,1,4,4,2,15,1,0,1,1,1,2,1,2,-1
