NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1wrkfulldad,W1wrkfullmum,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DAGEYCH,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW,W8PUSA
NS18955E,18000,41,2,1,2,1,1,2,1,8,1,2,0,0,2,0,0,2,0,2,1,1,3,2,2,1,3,2,2,2,1,1,-91,-91,1,4,4,2,11,1,1,-1,1,1,1,2,2,2,969.23,3300
NS19264D,1666.08,41,2,1,2,2,1,2,1,13,1,2,0,2,1,0,0,2,0,4,1,2,3,2,1,2,1,11,2,4,1,2,1,1,9,4,4,2,7,0,2,-1,1,1,1,2,4,1,707.39,3350
NS12392S,-91,29,10,1,2,6,1,6,1,20,3,1,0,3,3,0,0,2,0,3,8,2,3,2,2,2,3,0,2,1,2,2,2,2,9,4,4,2,15,-1,2,-1,1,1,1,2,4,1,886.56,3372
NS10602G,-91,35,10,1,1,0,1,1,1,16,1,3,0,0,2,0,0,2,0,5,1,3,-1,2,1,-1,2,2,2,3,1,1,-91,-91,1,4,4,2,15,1,0,-1,2,1,1,2,2,1,547.35,3400
NS14927Q,7436,30,2,1,2,2,1,4,1,8,1,2,0,1,2,0,0,2,0,2,1,1,3,2,2,1,3,4,2,3,1,2,2,2,9,4,4,2,12,0,1,-1,1,2,1,2,4,1,-1,3500
NS22450Z,-91,41,6,1,2,3,1,8,1,4,1,3,0,2,2,0,0,2,0,2,1,1,4,2,2,2,3,0,2,1,1,1,-91,-91,9,4,4,2,13,-1,0,-1,1,1,1,2,2,2,320,3500
NS12728W,-1,31,2,1,2,0,1,2,1,2,1,2,0,0,1,1,0,2,0,-94,1,2,3,2,1,1,3,0,2,1,1,2,2,2,9,4,4,2,10,-1,0,-1,1,1,1,1,4,3,403.7,3500
NS13136W,14329,31,1,1,2,0,1,2,1,2,1,1,0,0,1,1,0,2,0,3,1,1,5,2,1,1,3,7,2,3,1,1,-91,-91,1,4,4,2,14,1,2,-1,1,1,1,2,4,1,507.16,3500
NS18514R,5467.8,26,2,1,2,1,1,2,1,7,1,2,0,0,2,0,0,2,0,4,1,2,2,1,1,1,3,6,2,4,1,2,2,2,9,4,4,2,11,0,2,-1,1,1,1,2,4,1,600.46,3500
NS17734P,21120,24,1,1,2,0,1,2,1,9,1,1,0,0,1,1,0,2,0,5,1,3,2,2,2,2,3,1,2,2,1,2,2,2,9,4,4,2,10,0,3,-1,1,1,1,1,4,2,657.04,3500
NS16145B,8316,42,2,1,2,1,1,2,1,15,1,2,0,0,2,0,0,2,0,1,1,1,5,2,1,2,3,4,2,3,1,2,2,2,9,4,4,2,15,-1,0,-1,2,1,1,2,2,1,726.92,3500
NS25053F,67000,29,1,1,2,1,1,2,1,7,1,1,0,1,2,0,1,2,0,1,2,1,5,2,-1,1,3,4,2,3,2,1,-91,-91,1,4,4,2,13,1,1,-1,1,1,1,2,7,1,808.31,3500
