NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1wrkfulldad,W1wrkfullmum,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DAGEYCH,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW,W8PUSA
NS10598M,8221.2,42,1,1,2,2,1,2,1,8,1,1,0,1,2,0,0,5,0,5,1,2,1,2,2,2,3,1,2,1,1,2,2,2,9,4,4,2,14,0,1,0,1,2,1,1,4,2,-1,0
NS16122J,-91,29,9,2,1,3,1,4,1,20,3,3,0,2,2,0,0,2,0,8,4,2,3,2,2,2,3,0,2,1,2,2,1,2,8,4,3,2,10,0,0,-1,2,4,2,2,4,2,-1,0
NS16672S,-999,29,2,1,1,3,1,4,2,20,2,3,0,2,2,0,0,2,0,4,5,-1,2,2,2,2,3,0,2,2,2,2,2,2,9,4,4,-94,8,-1,1,0,2,4,2,2,4,2,-1,0
NS18631E,4420,26,2,2,1,2,1,5,1,15,-98,2,0,0,2,0,0,1,1,7,1,4,1,1,2,2,1,1,2,-1,2,2,2,2,9,4,4,1,16,-1,0,9,1,1,1,2,4,2,138.57,0
NS26050Y,-91,28,9,2,1,1,1,4,2,16,3,3,1,1,2,1,0,2,0,4,1,3,2,1,1,1,3,3,2,3,1,2,2,2,9,4,4,2,10,0,3,-1,1,1,1,2,4,3,239.49,0
NS20012Y,36000,31,1,1,2,0,1,2,1,15,1,1,0,0,2,0,0,3,0,2,1,2,2,2,2,1,3,4,2,2,2,1,-91,-91,1,4,4,2,15,-1,0,-1,1,1,1,2,4,3,323.33,0
NS20966V,55000,40,1,1,2,1,1,2,1,2,1,3,0,0,2,0,0,2,0,2,1,1,0,2,2,1,3,0,2,1,2,1,-91,-91,1,4,4,2,10,-1,0,-1,1,1,1,1,4,1,384.99,0
NS16040T,8000,35,3,1,2,0,1,2,1,8,1,1,0,0,1,1,0,2,0,-99,1,3,5,2,2,1,3,8,2,3,1,2,1,2,2,4,4,-94,9,0,5,-1,1,1,1,2,2,2,413.46,0
NS13259Q,14006.72,31,1,1,1,1,1,1,1,19,-98,1,0,1,1,0,0,6,1,3,1,2,3,2,2,1,3,0,2,-1,1,2,1,2,9,4,4,2,11,1,4,-1,1,1,1,1,7,2,461.89,0
NS20017D,11400,31,1,1,2,1,1,5,2,5,-98,1,0,0,2,1,0,1,1,5,2,2,2,2,2,2,3,0,2,1,1,1,-91,-91,1,4,4,2,14,0,1,-1,1,1,1,2,2,1,500,0
NS12073Y,5616,28,2,1,2,1,1,2,1,15,1,2,0,1,1,0,0,2,0,2,1,3,5,2,2,2,3,0,2,2,1,2,2,2,9,4,4,2,3,0,1,-1,1,1,1,2,2,2,519.23,0
NS13203L,-91,34,10,1,2,1,1,2,1,15,1,3,0,1,2,1,0,2,0,2,1,4,5,2,1,2,3,0,2,1,1,2,1,1,9,4,4,2,10,0,0,-1,1,1,1,2,2,1,625,0
NS25458V,-1,33,2,1,2,2,1,2,1,15,1,2,0,1,2,0,0,2,0,3,1,2,1,2,1,1,2,5,2,3,2,2,2,2,9,4,4,2,16,0,2,-1,1,1,1,1,4,3,1049.42,1
NS13672F,-91,32,9,1,1,0,1,4,2,20,3,3,0,0,1,0,0,2,0,8,5,2,-91,1,1,2,3,2,1,1,2,2,1,2,3,4,1,2,12,0,0,-1,2,1,1,1,1,1,0.6,35
NS21961K,-91,45,10,1,2,1,1,1,1,20,1,3,0,1,1,0,0,2,0,5,1,3,5,2,1,1,2,0,2,2,1,2,2,2,4,4,2,2,14,-1,0,2,1,1,1,2,4,2,52,52
NS25407W,13468,38,1,1,2,0,1,1,1,14,2,1,0,0,1,0,0,2,0,2,1,-1,1,2,2,2,3,0,2,1,1,2,2,2,9,4,4,2,12,-1,0,1,2,1,1,1,2,2,461.54,70
NS11096V,-1,28,1,1,2,2,1,2,1,16,1,1,0,1,2,0,0,2,0,7,1,3,2,2,1,1,3,2,2,2,1,2,2,2,9,4,4,2,10,-1,0,2,1,1,1,2,4,3,174,80
NS25663N,-91,38,10,1,2,1,1,4,2,20,3,3,0,0,3,1,0,2,0,4,5,2,3,2,2,1,3,0,2,1,2,1,-91,-91,1,4,4,2,13,0,5,4,2,9,2,2,4,3,-1,100
NS19486Z,-91,40,10,1,1,1,1,1,1,20,3,3,0,0,3,1,0,2,0,8,4,2,3,2,2,2,3,2,2,1,2,2,2,2,3,4,1,1,10,-1,4,0,2,9,2,2,4,3,-1,104
NS20603S,3588,33,2,1,2,1,1,2,1,15,1,2,0,1,2,0,0,3,0,7,1,1,-91,1,1,2,3,0,2,2,2,2,2,2,9,4,4,2,11,0,6,0,1,8,2,1,4,3,-1,106
NS21115Z,-91,36,5,2,2,2,1,2,1,20,3,3,0,1,2,0,0,2,0,7,4,2,3,2,2,2,3,-92,2,3,1,2,2,2,9,4,4,2,15,-1,0,3,2,1,1,2,2,1,87.76,110
NS25012B,10334.48,15,1,1,1,3,1,5,1,15,3,1,0,2,2,0,0,2,0,6,1,4,-91,1,1,2,3,1,2,1,2,2,1,2,6,2,4,2,7,-1,0,1,1,2,1,1,4,5,-1,115
NS22864G,-99,45,-99,-99,-99,-99,1,2,2,-99,1,3,0,2,1,0,0,2,0,-99,5,1,5,2,2,2,-99,0,2,2,2,2,2,2,9,4,4,2,14,-1,0,1,2,9,2,2,2,3,-1,120
NS17042R,-91,27,10,2,1,2,1,4,2,9,1,3,1,1,1,0,0,2,0,6,1,2,-91,2,1,2,3,0,2,1,2,2,1,2,9,4,4,2,8,-1,3,4,1,1,1,1,4,1,490,130
NS16846S,-91,18,10,1,2,1,1,5,1,20,3,3,0,0,3,0,0,3,0,6,1,3,-91,1,1,1,3,7,2,3,2,2,2,2,9,4,4,1,9,-1,0,1,2,1,1,2,4,3,451,140
NS22899W,-92,36,3,1,2,6,1,1,1,20,1,3,1,5,1,0,0,2,0,4,5,2,4,2,2,-1,3,0,1,2,2,2,1,2,3,4,1,2,12,-1,1,0,2,5,2,2,4,5,-1,150
NS17644G,9880,28,2,1,2,1,1,2,1,15,1,2,0,1,1,0,0,2,0,6,1,4,2,2,2,2,3,5,2,3,2,2,2,2,9,4,4,1,11,-1,0,3,1,1,1,1,4,3,240,150
NS19022T,6279,39,2,2,2,0,1,2,1,14,1,2,0,0,1,1,0,2,0,4,1,3,3,1,1,2,3,1,2,2,1,2,2,2,9,4,4,2,4,0,0,-1,1,1,1,2,7,1,267.67,150
NS18596A,13848,16,1,1,2,0,1,2,1,7,1,1,0,0,1,1,0,2,0,7,1,4,2,2,1,1,3,0,2,1,1,2,1,2,9,4,4,2,15,0,0,-1,1,1,1,1,7,1,421.12,150
NS22346J,7800,31,1,1,2,4,1,6,1,20,1,3,1,2,2,0,0,2,0,5,5,2,3,2,2,1,3,0,2,1,2,1,-91,-91,1,4,4,2,15,1,0,0,2,9,2,2,4,1,-1,156
NS10101V,-91,30,10,2,2,4,1,4,2,20,3,3,0,3,2,1,0,2,0,6,5,3,2,1,2,1,3,7,2,3,2,2,2,2,9,4,4,2,17,-1,5,0,2,9,2,2,4,3,-1,156
NS18406X,5293.6,38,2,1,2,1,1,2,1,16,1,2,0,1,1,0,0,3,0,5,1,2,3,1,1,1,3,2,2,4,2,2,2,2,9,4,4,2,10,0,3,2,1,1,1,1,4,3,600,160
NS12384A,-91,37,10,2,2,3,1,4,1,20,3,3,1,2,1,0,0,3,0,7,1,1,1,2,1,1,3,0,2,1,2,2,1,2,9,4,4,2,12,-1,0,0,1,9,2,1,4,4,-1,162
NS21257G,-91,39,10,1,2,0,1,2,1,2,1,3,0,0,1,0,0,2,0,1,1,2,3,2,2,2,3,1,2,1,1,2,2,2,9,4,4,2,15,1,2,-1,1,5,2,2,4,2,-1,180
NS22102X,-1,42,4,1,2,0,1,2,1,15,1,2,0,0,1,1,0,2,0,-94,1,4,0,2,1,1,2,0,2,2,1,2,2,2,9,4,4,2,10,0,0,1,2,1,1,1,4,2,317.31,180
NS22285J,18486,45,1,1,2,1,1,4,1,15,1,2,0,1,1,0,0,3,0,5,1,2,2,2,2,1,3,0,2,1,2,2,2,2,9,4,4,2,12,-1,0,3,2,9,2,2,4,3,-1,200
NS10259D,4500,20,3,1,2,1,1,2,1,6,3,1,0,0,2,0,0,2,0,4,1,3,-91,1,1,1,2,6,2,3,2,2,1,2,9,4,4,2,9,-1,3,0,1,9,2,2,4,3,-1,200
NS23678X,1144,39,2,1,2,3,1,1,1,16,2,2,0,3,2,0,0,2,0,4,5,3,3,2,2,1,3,0,2,2,2,2,1,2,9,4,4,2,13,0,0,1,2,4,2,2,2,1,-1,200
NS20113B,-1,29,2,2,2,0,1,4,1,20,1,2,0,0,1,0,0,2,0,7,1,4,3,2,2,2,3,0,2,1,2,2,2,2,9,4,4,1,10,-1,0,3,1,9,2,2,4,3,-1,200
NS12836Q,-91,39,10,1,2,4,1,1,2,20,-98,3,0,4,1,0,0,4,1,8,4,2,3,2,2,2,3,0,2,1,2,2,2,2,9,4,4,2,12,-1,0,1,2,9,2,2,7,2,-1,200
NS12899L,-91,39,5,1,2,4,1,4,1,20,3,3,0,3,2,0,0,2,0,7,5,2,5,1,2,2,3,4,2,3,1,2,1,1,9,4,4,2,7,-1,4,0,2,9,2,2,4,2,-1,200
NS18258S,-91,45,10,2,1,5,1,5,1,20,3,3,0,2,4,0,0,2,0,8,4,1,0,2,2,1,3,2,-1,1,2,2,2,2,9,4,4,1,6,0,4,3,2,8,2,2,4,3,-1,200
NS17390T,-92,28,1,1,2,1,1,2,1,2,1,1,0,0,3,1,0,2,0,2,1,4,5,-92,2,2,3,0,2,1,1,2,2,2,9,4,4,2,12,-1,2,1,1,2,1,1,4,3,-1,200
NS16723Y,-99,-97,-99,-99,-99,-99,1,2,1,-99,1,2,0,0,1,1,0,2,0,5,1,4,2,-97,-97,-97,-99,0,2,2,1,2,2,2,9,4,4,2,9,-1,2,0,6,4,2,2,4,2,-1,200
NS13227E,6864,41,5,1,2,4,1,4,1,20,3,3,1,2,2,1,0,2,0,6,5,1,2,2,2,2,3,0,2,1,1,2,1,2,3,4,1,2,9,-1,0,-1,2,1,1,2,7,2,230.95,200
NS20085N,11897.6,26,1,1,2,1,1,2,1,20,1,1,0,1,2,0,0,2,0,5,2,1,0,2,1,1,2,0,2,1,1,2,2,2,9,4,4,2,11,-1,0,2,2,1,1,1,4,2,288,200
NS10694K,-91,33,6,1,2,1,1,6,2,20,-98,3,0,1,1,0,0,5,1,8,1,-1,3,2,1,1,2,0,-1,2,1,1,-91,-91,1,4,4,2,13,-1,4,-1,1,1,1,1,4,3,365.38,200
NS23536P,11400,36,2,1,1,1,1,4,1,2,1,2,0,0,2,1,0,2,0,3,1,2,4,2,1,1,3,2,2,2,2,2,1,2,9,4,4,2,12,0,10,-8,1,2,1,1,4,2,375,200
NS11659H,-91,27,10,1,2,1,1,2,1,20,1,3,0,0,2,0,0,2,0,6,1,3,1,-1,1,2,3,1,2,1,1,2,2,2,9,4,4,2,10,0,0,-1,1,1,1,1,4,1,392,200
NS11817G,33600,38,1,1,2,0,1,2,1,2,1,1,0,0,1,1,0,2,0,2,1,2,2,2,2,2,3,1,2,3,2,1,-91,-91,1,4,4,-94,13,1,1,-1,1,1,1,2,7,2,392.61,200
NS15945Y,16656.64,37,1,1,1,1,1,2,1,2,1,1,0,1,1,0,1,2,0,2,1,1,0,-1,1,1,2,2,2,2,2,1,-91,-91,1,4,4,2,16,-1,0,-1,2,1,1,1,2,1,789.38,200
NS11199A,10400,42,2,1,2,0,1,1,1,-98,-98,-98,0,0,2,0,0,-98,0,-99,2,1,3,2,2,1,3,5,2,3,2,1,-91,-91,9,4,4,2,14,0,0,-1,2,1,1,1,2,2,267.9,213
NS14371T,-1,29,1,1,2,1,1,5,1,7,-98,1,0,1,1,0,0,1,1,-99,2,2,0,1,1,2,3,8,1,4,1,2,2,2,6,2,4,1,6,-1,0,1,1,9,2,2,4,3,-1,220
NS16042W,21000,38,1,1,2,1,1,2,1,15,1,2,0,1,1,0,0,2,0,2,1,3,5,2,2,2,2,0,2,1,1,2,2,2,9,4,4,2,12,0,0,-1,1,1,1,2,2,1,404.16,220
NS23036D,-91,38,9,1,1,0,1,4,2,-98,3,-98,0,0,2,0,0,-98,1,5,1,4,4,2,1,2,3,0,2,1,1,2,1,2,3,4,1,2,16,1,1,0,1,1,1,1,4,3,261.66,229
NS20371W,11440,41,2,1,2,5,1,2,2,6,1,2,1,4,2,0,0,3,0,2,1,2,3,2,2,1,3,0,2,1,1,2,1,2,7,4,4,2,8,-1,0,-1,1,1,1,2,3,1,288.22,230
NS10847V,-99,44,-99,-99,-99,2,1,1,1,20,1,3,0,2,2,0,0,2,0,-99,2,2,5,2,2,2,3,2,2,1,1,2,2,2,9,4,4,2,9,-1,0,1,2,1,1,2,7,2,300.23,230
NS16407G,4576,37,2,2,2,1,1,2,1,15,1,2,0,1,1,0,0,2,0,2,1,3,1,2,2,2,3,0,2,2,1,2,2,1,9,4,4,2,12,-1,1,-1,2,1,1,1,2,1,673.08,232
NS10683P,-91,33,10,1,1,0,1,1,2,20,-98,3,1,0,1,0,0,4,1,-99,4,2,5,2,2,1,2,5,1,3,2,2,1,2,9,4,4,2,10,-1,11,2,2,9,2,2,4,3,-1,235
NS20379E,3744,40,2,1,1,3,1,6,2,20,2,3,0,2,1,0,0,2,0,7,1,2,1,2,2,2,3,0,2,1,2,2,2,2,9,4,4,1,12,-1,0,8,2,4,2,2,4,2,-1,237
NS16266T,5818.8,36,1,1,2,1,1,4,2,9,-98,1,0,1,1,0,0,5,1,5,1,2,3,1,1,2,1,1,2,2,1,2,2,2,9,4,4,2,8,-1,5,2,2,1,1,2,4,3,336.72,239
NS20449Y,8000,32,3,1,2,1,1,2,1,13,1,1,0,1,1,0,0,2,0,6,1,4,3,2,1,1,3,0,1,1,1,2,2,2,9,4,4,2,12,-1,0,0,1,1,1,2,5,3,225,240
NS13364G,3500,31,3,1,2,1,1,2,1,3,-98,1,0,1,1,1,0,5,1,4,1,2,3,2,1,2,3,4,2,3,2,2,2,2,1,4,4,2,7,0,0,-1,1,1,1,2,4,3,307.69,240
NS21234P,-91,38,9,2,1,1,1,4,1,20,3,3,0,0,2,0,0,2,0,7,1,2,5,2,2,2,3,0,2,1,1,2,2,2,9,4,4,2,8,-1,0,-1,1,1,1,1,4,2,301,245
NS25619X,-1,38,6,2,2,2,1,5,2,15,-98,3,0,1,2,0,0,5,1,-91,1,3,3,2,2,1,3,0,2,1,2,1,-91,-91,1,4,4,2,15,1,4,-1,1,4,2,2,4,2,-1,250
NS20171R,-91,38,9,1,1,0,1,6,1,15,-98,3,0,0,1,0,0,5,1,7,1,1,2,2,1,1,2,-92,2,4,2,2,2,2,9,4,4,2,7,-1,8,1,2,9,2,2,4,4,-1,250
NS13010Y,3993.6,44,2,1,2,0,1,2,2,15,-98,2,0,0,1,0,0,5,1,2,1,3,2,2,1,1,3,2,2,2,1,2,1,2,3,4,1,2,13,0,5,-1,1,2,1,2,4,2,63.46,250
NS23115Q,12448.8,37,1,1,1,2,1,2,1,20,1,3,2,0,1,0,0,2,0,7,4,1,1,2,2,2,3,0,2,1,2,2,2,2,9,4,4,1,7,-1,1,3,2,9,2,2,2,3,92,250
NS25411J,25200,33,1,1,2,0,1,2,1,15,1,1,0,0,1,0,0,2,0,1,1,2,3,2,2,2,3,0,2,2,1,2,1,2,3,4,1,2,10,1,0,-1,1,1,1,1,4,2,200,250
NS12718B,13166.4,43,1,1,2,1,1,1,1,9,1,1,0,1,1,0,0,2,0,6,3,2,5,2,2,2,3,0,2,2,1,2,1,2,3,4,1,1,18,-1,0,0,2,1,1,2,2,2,207.85,250
NS21227Y,23472.8,24,1,1,1,1,1,2,1,15,3,1,0,0,2,0,0,2,0,2,1,2,3,1,2,1,2,0,2,1,1,1,-91,-91,1,4,4,2,18,-1,3,-1,1,1,1,1,4,2,596.15,250
NS10483K,1102.4,31,2,1,2,3,1,4,2,20,-98,2,0,3,1,0,0,5,1,6,1,3,3,2,1,1,3,6,2,4,2,2,2,2,9,4,4,2,12,-1,0,3,2,9,2,2,3,4,-1,256
NS22892N,-91,40,10,2,2,2,1,4,2,20,3,3,0,1,2,0,0,2,0,8,1,-1,1,-92,1,1,3,-92,1,3,2,2,2,2,9,4,4,2,13,-1,0,3,1,9,2,2,4,1,-1,260
NS22518G,-91,41,10,1,2,2,1,4,2,20,1,3,0,2,1,0,0,2,0,6,1,2,5,2,-92,2,2,0,2,2,1,1,-91,-91,1,4,4,2,12,-1,4,-1,1,1,1,2,4,5,375,265
NS12666V,-92,25,1,1,1,0,1,2,1,-98,1,-98,0,0,2,0,0,-98,1,5,1,3,2,2,1,1,2,7,1,2,1,2,2,2,9,4,4,2,9,0,1,-1,1,1,1,2,4,2,240,270
NS19140H,-91,29,10,1,2,1,1,4,1,20,3,3,0,0,2,0,0,2,0,6,1,3,0,2,1,1,1,10,2,4,2,2,2,2,6,2,4,2,7,-1,8,4,2,9,2,2,4,3,-1,274
NS22587S,15000,32,3,1,2,1,1,2,1,20,1,1,0,1,2,0,0,2,0,1,1,2,3,2,1,2,3,0,2,1,1,2,1,2,9,4,4,2,11,-1,2,-1,1,6,1,2,7,4,300.23,275
NS11985T,-91,39,10,1,2,2,1,1,2,19,-98,3,1,1,1,1,0,4,1,7,4,2,5,1,2,2,3,0,2,1,1,2,2,2,7,4,4,2,9,-1,0,0,2,1,1,2,1,2,115.47,280
NS21066W,-92,35,1,1,1,1,1,1,1,13,1,1,0,0,2,0,0,2,0,4,1,3,2,1,1,-92,1,0,2,1,1,2,2,2,9,4,4,2,7,-1,0,2,2,1,1,2,2,2,273,280
NS24136B,4680,30,2,1,2,0,1,2,1,20,1,2,0,0,1,0,0,3,0,-99,1,4,2,2,1,2,3,1,2,1,2,2,2,2,9,4,4,2,13,0,2,-1,2,1,1,1,4,1,280,280
NS25320A,-91,28,10,1,2,2,1,4,1,19,-98,3,0,2,1,0,0,1,1,5,1,3,-91,1,1,2,3,0,2,1,1,2,2,2,9,4,4,2,9,-1,0,1,1,9,2,2,4,3,-1,300
NS20036R,-91,33,9,1,1,2,1,2,1,20,1,3,0,2,1,0,0,2,0,6,1,2,-91,2,1,1,3,6,1,4,2,2,1,2,9,4,4,1,14,0,7,1,1,9,2,2,4,2,-1,300
NS16758M,-92,36,4,1,2,1,1,2,1,7,1,2,0,0,2,0,0,2,0,2,1,1,1,2,2,2,3,2,2,3,1,2,2,2,9,4,4,2,14,-1,5,-1,1,2,1,2,4,3,-1,300
NS14208M,12480,35,1,1,2,0,1,1,1,15,1,1,0,0,1,1,0,2,0,5,1,4,2,2,1,2,3,10,2,4,1,2,2,2,9,4,4,2,5,-1,4,1,2,1,1,2,2,2,92.38,300
NS12371C,10101,13,1,1,2,2,1,2,1,15,1,1,0,0,1,0,0,2,0,5,1,2,1,1,1,1,3,-99,-99,-99,1,2,2,2,9,4,4,2,8,-1,1,5,1,1,1,2,4,3,180,300
NS10912H,-91,42,10,1,2,2,1,4,1,13,-98,3,0,2,1,0,0,6,1,6,1,2,3,2,1,1,3,2,2,-1,1,2,1,1,9,4,4,2,11,-1,0,3,1,1,1,2,4,2,180,300
NS15062P,9734.4,26,2,2,1,0,1,2,1,20,1,2,0,0,1,0,0,2,0,7,1,4,1,2,1,2,3,2,2,2,1,2,2,2,9,4,4,2,11,-1,0,-1,1,1,1,2,1,1,184.76,300
NS23431G,9880,35,1,1,1,1,1,2,1,9,1,1,0,0,2,0,0,2,0,7,1,3,2,2,1,2,1,0,2,1,1,2,2,2,6,2,4,1,15,-1,0,9,2,1,1,1,2,1,220,300
NS12185X,4160,37,2,1,2,0,1,2,1,16,1,2,0,0,1,1,0,2,0,5,1,3,3,2,1,2,3,0,2,2,1,2,2,2,9,4,4,2,11,0,0,0,1,1,1,2,4,2,230.95,300
NS18716Y,33000,36,1,1,2,0,1,8,2,19,1,1,0,0,1,0,0,2,0,2,1,2,2,2,1,1,3,1,2,2,1,2,2,2,9,4,4,2,15,0,0,-1,2,1,1,2,4,2,286.5,300
NS23145Z,-99,31,-99,-99,-99,-99,1,2,1,-99,1,1,0,0,0,2,0,2,0,-99,1,4,2,2,1,2,-99,0,2,1,2,2,1,2,9,4,4,2,11,0,2,-1,1,1,1,2,3,2,300.23,300
NS12504Y,4836,36,2,1,2,1,1,1,1,16,1,2,0,0,2,0,0,2,0,3,1,2,5,2,1,2,3,3,2,4,2,1,-91,-91,1,4,4,2,14,1,2,-1,1,1,1,2,4,3,325,300
NS25328J,11310,31,2,1,2,1,1,2,1,15,1,2,1,0,2,2,0,3,0,5,1,3,4,1,1,2,1,3,2,3,1,2,2,1,9,4,4,2,9,-1,0,-1,1,1,1,2,7,2,366.5,300
NS13324D,5000,18,4,1,1,0,1,2,1,5,-98,2,0,0,2,0,0,5,1,4,1,2,-91,1,1,2,3,11,2,4,1,2,1,2,3,4,1,2,14,0,3,-1,1,1,1,2,2,4,400,300
NS10225Q,25776,46,1,1,2,0,1,1,1,-99,1,-99,0,0,3,1,0,3,0,2,1,1,5,2,1,2,3,0,2,1,2,2,2,2,9,4,4,2,12,0,1,-1,1,1,1,1,2,2,480.77,300
NS23556D,-91,47,10,1,2,2,1,2,1,15,1,3,0,2,1,0,0,2,0,7,1,1,4,2,1,2,3,1,2,1,2,1,-91,-91,2,4,4,2,9,0,0,0,1,1,1,2,2,2,500,300
NS25390M,-999,39,1,1,-92,0,1,2,1,15,-98,1,0,0,1,1,0,5,1,-94,1,1,5,2,2,2,3,0,1,2,2,2,1,2,3,4,1,2,14,1,0,-1,1,1,1,2,4,2,531.18,300
NS18369Q,16380,28,1,1,2,1,1,2,1,7,-98,1,0,1,1,1,0,5,1,3,1,1,3,2,1,1,3,10,2,4,1,1,-91,-91,1,4,4,2,4,0,6,-1,2,1,1,2,2,2,1009.62,300
NS25668T,60144,40,1,1,2,0,1,2,1,2,1,2,0,0,1,1,0,2,0,-94,1,1,4,2,1,1,3,3,2,2,2,1,-91,-91,1,4,4,2,11,1,0,-1,1,1,1,2,4,2,-8,304
NS18272A,17290,36,1,2,2,0,1,1,1,2,1,1,0,0,1,1,0,2,0,2,1,2,5,2,1,1,3,9,2,4,1,2,2,2,9,4,4,1,11,-1,0,2,1,1,1,2,4,2,84,310
NS11240V,-91,37,10,1,2,1,1,2,1,20,1,3,0,1,1,0,0,2,0,6,1,2,5,2,1,2,3,2,2,2,1,2,2,2,9,4,4,2,11,0,10,4,1,1,1,2,2,2,350,310
NS22782R,28992,38,1,1,1,1,1,2,1,15,-98,1,0,1,1,1,0,5,1,2,1,2,3,2,2,1,2,0,2,1,1,2,2,2,9,4,4,2,3,-1,0,1,2,1,1,2,4,3,56,311
NS24388F,-91,23,10,1,2,1,1,6,1,16,1,3,1,0,1,1,0,2,0,2,1,3,3,2,1,2,3,12,2,4,2,2,2,2,9,4,4,1,14,-1,10,5,3,1,1,2,4,2,184.76,320
NS11896M,6635.2,33,2,1,2,2,1,5,1,5,2,1,0,1,3,1,0,2,0,2,1,3,-1,-1,2,2,3,2,1,1,1,2,1,1,9,4,4,2,4,0,0,-1,1,1,1,2,4,2,350,320
NS20687D,42000,34,1,1,1,0,1,2,1,1,1,1,0,0,1,0,1,2,0,2,1,1,5,2,1,1,3,7,2,3,2,1,-91,-91,1,4,4,2,16,1,0,0,2,1,1,2,2,2,554.27,330
NS22138M,-91,41,10,2,2,1,1,4,1,20,1,3,0,1,1,0,0,2,0,7,1,2,5,2,2,2,3,0,2,2,2,2,1,2,3,4,1,2,11,0,1,0,1,1,1,2,4,2,456.35,340
NS11879B,-91,40,10,1,2,2,1,2,1,15,1,3,1,0,2,0,0,5,0,1,1,2,4,2,2,2,3,-99,-99,-99,2,2,2,2,9,4,4,2,11,-1,2,0,1,1,1,2,1,1,344,344
NS19791V,-1,40,2,1,2,0,1,2,1,9,-98,2,0,0,1,1,0,5,1,2,1,3,-91,2,2,1,3,1,2,1,2,2,2,2,9,4,4,2,10,0,0,1,1,9,2,2,2,2,-1,345
NS21617M,5882.24,34,2,1,2,1,1,4,1,15,3,2,0,1,1,1,0,2,0,6,1,1,3,2,2,1,3,-92,-1,-92,2,1,-91,-91,1,4,4,2,7,-1,0,-1,1,1,1,2,2,1,294.46,345
NS11500Y,-999,31,1,1,2,0,1,2,1,4,-98,1,0,0,1,1,1,5,1,4,1,3,4,2,2,2,3,1,1,2,1,2,2,2,9,4,4,2,9,-1,0,2,1,1,1,2,4,2,127.02,350
NS15514E,-1,34,2,1,2,0,1,2,1,6,1,2,0,0,2,0,0,2,0,4,1,2,3,2,1,1,3,0,2,2,1,2,2,2,9,4,4,2,10,-1,2,2,2,1,1,2,1,3,150,350
NS25241N,-91,32,9,1,1,2,1,2,1,17,1,3,0,1,3,0,0,2,0,7,1,2,2,2,1,1,3,0,2,1,1,2,2,2,9,4,4,2,6,-1,5,1,1,1,1,2,4,1,250,350
NS25196P,11544,36,1,2,1,1,1,2,1,14,1,1,0,1,1,0,0,2,0,5,1,2,1,2,2,1,3,2,2,1,1,2,2,1,9,4,4,2,12,0,0,0,1,1,1,2,4,2,260.97,350
NS25696A,-92,39,12,1,2,0,1,2,1,17,1,3,0,0,1,0,0,2,0,7,1,2,3,2,1,1,3,0,2,1,1,2,2,2,9,4,4,2,10,1,5,-1,1,1,1,1,4,3,423.08,350
NS19709C,21143.2,40,1,1,2,0,1,2,1,4,1,1,0,0,2,0,0,2,0,4,1,2,3,2,1,1,3,0,2,1,1,2,1,2,9,4,4,2,16,1,0,-1,1,1,1,2,2,2,451.73,350
NS10601F,5200,40,2,1,2,1,1,2,1,9,1,2,0,0,2,0,0,2,0,5,1,3,3,2,1,2,3,0,2,2,1,2,2,2,9,4,4,2,14,0,0,-1,2,1,1,1,2,2,500,350
NS22711D,6513,25,2,1,2,0,1,2,1,7,-98,2,0,0,1,0,0,3,0,-99,1,4,2,2,1,2,3,0,2,1,1,2,2,2,9,4,4,1,13,-1,1,6,1,1,1,2,3,4,160,360
NS14749C,7787.52,31,2,1,2,0,1,6,1,16,-98,2,0,0,1,1,0,5,1,3,1,2,1,2,1,2,3,0,1,2,1,2,2,2,9,4,4,2,14,-1,0,-1,1,1,1,2,4,3,404.16,360
NS17795H,14000,38,1,1,2,0,1,2,1,8,1,1,0,0,1,1,0,2,0,2,1,2,3,2,1,2,3,0,2,2,1,1,-91,-91,1,4,4,2,18,1,0,-1,1,1,1,2,2,2,484.99,360
NS18011C,6776.64,39,2,1,2,0,1,2,1,13,1,2,0,0,1,1,0,2,0,2,1,3,2,2,1,1,3,0,2,2,1,2,1,1,9,4,4,2,15,0,0,0,2,2,1,2,4,2,-1,370
NS18367N,10764,28,2,1,2,2,1,2,1,6,1,2,0,1,2,1,0,2,0,1,1,2,2,2,1,-1,3,0,2,1,1,2,1,2,9,4,4,2,14,0,0,4,2,1,1,2,5,1,166.28,370
NS10649S,-91,34,10,1,1,4,1,5,2,20,-98,3,0,4,1,0,0,5,1,7,1,2,3,2,1,2,3,0,2,2,1,2,1,2,3,4,1,2,14,-1,4,0,7,1,1,2,4,2,189.38,370
